Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,0.8695,0.7896825396825397,0.48894348894348894,0.6039453717754173,0.8691125640278182
Gradient Boosting,0.87,0.7928286852589641,0.48894348894348894,0.6048632218844985,0.8682480631633175
Random Forest,0.832,0.5723014256619144,0.6904176904176904,0.6258351893095768,0.8641013895251184
Decision Tree,0.757,0.44521497919556174,0.7886977886977887,0.5691489361702128,0.8383738129500841
Logistic Regression,0.7095,0.38274932614555257,0.6977886977886978,0.49434290687554394,0.7759207589716065
